	id	sentence1	sentence2	similarity
0	1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	4.375
1	2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	2.75
2	3	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	4.625
3	4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	3.25
4	5	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	3.0
5	6	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	2.875
6	7	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	3.375
7	8	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	2.5
8	9	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	3.375
9	10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	4.875
10	11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	3.33125
11	12	Two dogs are fighting	Two dogs are wrestling and hugging	3.75
12	13	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	2.875
13	14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	3.125
14	15	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	2.125
15	16	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	2.375
16	17	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	1.6249999999999998
17	18	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	2.75
18	19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	4.875
19	20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	3.25
20	21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	2.5
21	22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	4.125
22	23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	3.8749999999999996
23	24	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	3.0
24	25	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	2.25
25	26	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	3.375
26	27	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	2.75
27	28	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	3.0
28	29	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	2.875
29	30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	4.875
30	31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	3.75
31	32	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	4.0
32	33	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	4.625
33	34	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	3.625
34	35	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	3.25
35	36	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	3.125
36	37	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	3.75
37	38	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	3.125
38	39	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	3.25
39	40	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	3.5
40	41	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	4.25
41	42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	3.0
42	43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	3.75
43	44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	4.875
44	45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	3.625
45	46	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	3.625
46	47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	3.01875
47	48	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	3.375
